postcode,longitude,latitude
2484,153.3333,-28.3833
2485,153.5228,-28.1874
2486,153.4504,-28.1909
2487,153.5333,-28.3167
2488,153.5686,-28.3294
2489,153.5656,-28.3885
2490,153.4718,-28.2621
2500,150.8934,-34.424
2502,150.8795,-34.5036
2505,150.89,-34.4944
2506,150.85,-34.4833
2508,150.9802,-34.2005
2515,150.9447,-34.291
2516,150.9135,-34.3383
2517,150.9144,-34.3493
2518,150.9167,-34.3667
2519,150.8805,-34.3951
2520,150.8934,-34.424
2521,150.8534,-34.5262
2522,150.8534,-34.5262
2525,150.8583,-34.4356
2526,150.8375,-34.4404
2527,150.75,-34.5833
2528,150.8583,-34.5519
2529,150.8725,-34.5887
2530,150.2137,-34.6707
2533,150.8231,-34.6701
2534,150.75,-34.7667
2535,150.7262,-34.8528
2536,150.2952,-35.6513
2537,150.1575,-35.9552
2538,150.1905,-35.4918
2539,150.45,-35.2167
2541,150.6167,-34.8545
2545,149.7088,-36.199
2546,150.0718,-36.3684
2548,149.9199,-36.8763
2549,149.8346,-37.0152
2550,149.7654,-36.714
2551,149.9167,-37.0833
2555,150.7427,-33.8907
2556,150.7333,-33.9333
2557,150.7634,-33.9748
2558,150.8096,-34.0298
2559,150.8111,-34.0465
2560,150.8333,-34.05
2563,150.7507,-34.1044
2564,150.9,-34.0167
2565,150.8667,-34.0
2566,150.844,-34.0532
2567,150.7534,-34.0474
2568,150.7387,-34.1268
2569,150.7145,-34.185
2570,150.6693,-33.7907
2571,150.5165,-34.3149
2572,150.5677,-34.2046
2573,150.5947,-34.2225
2574,150.634,-34.2558
2575,150.5385,-34.3688
2576,150.4874,-34.5255
2577,148.1853,-35.764
2578,150.2962,-34.6566
2579,150.2702,-34.6487
2580,149.8833,-34.7
2581,149.1932,-34.718
2582,149.1276,-33.1252
2583,149.3667,-34.3333
2584,148.6348,-34.6717
2585,148.55,-34.6
2586,148.7163,-34.4366
2587,148.25,-34.4167
2588,148.15,-34.5333
2590,147.8554,-34.761
2594,148.2481,-34.2916
2619,149.2025,-35.3844
2621,149.4401,-35.2538
2622,149.7,-35.5167
2623,149.4452,-35.5911
2624,148.3881,-36.6077
2625,148.3076,-36.5052
2626,149.15,-35.95
2627,148.4818,-36.2644
2628,148.7333,-36.5333
2629,148.5667,-35.8167
2630,148.8667,-36.1667
2631,149.2833,-36.6667
2632,149.3667,-36.8333
2633,148.9291,-36.9802
2640,147.5012,-35.9318
2641,146.9396,-36.0398
2642,147.3359,-35.8945
2643,146.6325,-35.982
2644,147.5346,-35.5818
2645,146.2666,-35.3293
2646,146.302,-35.6436
2647,146.0053,-35.9854
2648,142.2143,-33.4923
2649,148.0833,-35.6167
2650,147.3516,-35.1452
2651,147.4671,-35.1481
2652,146.6085,-35.1066
2653,149.2235,-35.5594
2655,147.1142,-35.268
2656,146.7228,-35.3545
2658,146.7978,-35.4622
2659,146.9108,-35.7568
2660,147.1,-35.65
2661,147.2844,-35.1569
2663,147.672,-34.9061
2665,147.1,-34.3167
2666,147.8,-34.3167
2668,147.3873,-34.1449
2669,146.2512,-33.8318
2671,147.2047,-33.9237
2672,146.3739,-33.2987
2675,145.5403,-33.4877
2678,146.6698,-33.5843
2680,146.0985,-34.2553
2681,146.199,-34.2501
2700,146.6613,-34.9214
2701,147.1512,-34.5985
2702,147.0391,-34.7932
2703,146.4095,-34.5985
2705,146.4833,-34.563
2706,145.9987,-34.5694
2707,145.8804,-34.8039
2708,146.3985,-34.6742
2710,144.8846,-35.4152
2711,144.1024,-34.1936
2712,145.8114,-35.6588
2713,145.577,-35.649
2714,145.2512,-35.6818
2715,143.738,-33.8665
2716,146.3019,-32.136
2717,142.0397,-34.0947
2720,148.2449,-35.2628
2721,147.7876,-34.0124
2722,148.108,-35.0652
2725,147.882,-34.4989
2726,148.3333,-34.8333
2727,148.1651,-34.9285
2729,147.9929,-35.2452
2730,149.5836,-32.9176
2731,144.5977,-35.7869
2732,144.3159,-35.393
2733,146.0447,-35.1588
2734,143.6846,-35.1652
2735,143.4404,-35.1286
2736,143.3395,-34.959
2737,142.7448,-34.5744
2738,142.5301,-34.2366
2739,146.0447,-35.1588
2745,150.6496,-33.838
2747,150.7519,-33.7759
2748,150.7109,-33.7823
2749,150.6789,-33.6898
2750,150.7,-33.75
2751,150.7,-33.75
2752,150.6046,-33.8919
2753,150.7352,-33.6466
2754,150.7056,-33.5324
2755,150.7584,-33.5971
2756,150.8025,-33.6398
2757,150.6947,-33.5533
2758,150.7981,-33.4733
2759,150.7847,-33.7973
2760,150.7968,-33.7828
2761,150.8369,-33.7518
2762,150.8667,-33.7167
2763,150.8833,-33.7333
2765,150.8684,-33.6441
2766,150.8612,-33.8063
2767,150.8737,-33.7615
2768,150.9182,-33.7244
2769,150.9088,-33.7061
2770,150.8004,-33.7372
2773,150.6357,-33.7742
2774,150.6353,-33.7307
2775,150.9833,-33.3833
2776,150.5333,-33.7
2777,150.6426,-33.6657
2778,150.5,-33.7167
2779,150.4584,-33.7245
2780,150.3074,-33.7198
2782,150.3753,-33.7103
2783,150.4297,-33.7206
2784,150.4177,-33.7292
2785,150.2679,-33.6835
2786,150.4612,-33.4849
2787,149.9642,-33.6799
2790,149.8401,-31.8595
2791,149.1333,-33.6
2792,149.0833,-33.65
2793,148.856,-33.9024
2794,148.6441,-33.8834
2795,149.7982,-33.5142
2797,149.0333,-33.7167
2798,149.079,-33.4645
2799,149.2182,-33.7118
2800,149.1621,-33.346
2803,148.4833,-34.1167
2804,148.55,-33.5333
2805,148.409,-33.6241
2806,148.3714,-33.4273
2807,148.5561,-34.0378
2808,148.9482,-33.968
2809,148.4,-34.0
2810,147.9607,-33.8576
2818,148.7429,-32.4318
2820,150.2823,-34.4916
2821,148.2405,-32.2312
2823,147.9834,-32.0315
2824,147.8413,-31.6887
2825,147.1882,-31.5609
2826,147.7215,-31.8478
2827,148.8023,-31.5602
2828,148.4748,-31.446
2829,148.5391,-30.7557
2830,148.6012,-32.1582
2831,148.7593,-32.3328
2832,148.4874,-30.3726
2833,148.5759,-29.5438
2834,147.9097,-29.1102
2835,145.8418,-31.4987
2836,143.0886,-30.8521
2838,147.4525,-29.1131
2839,146.8033,-29.998
2840,145.8471,-29.3223
2842,149.1164,-31.8226
2843,149.7156,-31.8279
2844,149.55,-32.0
2845,150.0646,-33.411
2846,150.2833,-33.1167
2847,149.9763,-33.4436
2848,149.9667,-32.8833
2849,150.1201,-32.4119
2850,150.1417,-35.7848
2852,149.5333,-32.3
2864,148.5511,-33.3688
2865,148.6512,-33.0818
2866,148.9333,-33.1833
2867,148.5,-32.8667
2868,148.5667,-32.7
2869,148.2298,-32.7866
2870,148.1333,-33.0
2871,147.7,-33.35
2873,147.5,-32.35
2874,147.5661,-32.6311
2875,147.85,-32.7833
2876,147.8167,-33.1167
2877,146.7503,-32.519
2878,144.3015,-32.9004
2879,142.4182,-32.3929
2880,141.4512,-31.9652
2890,148.084,-32.309
2891,148.6724,-32.5166
2898,159.0768,-31.5526
2899,148.084,-32.309
3500,142.1515,-34.1979
3644,145.6958,-35.906
3691,147.0692,-36.2843
3707,147.9589,-36.4104
4377,152.0,-28.55
4380,151.5167,-28.9833
4383,151.9382,-28.9307
4385,151.0333,-28.85
800,130.8418,-12.4611
801,130.8418,-12.4611
803,130.7443,-12.4348
804,130.8414,-12.4305
810,130.8822,-12.374
811,130.8822,-12.374
812,130.8784,-12.3792
813,130.8784,-12.3792
814,130.8517,-12.383
815,130.8784,-12.3792
820,130.8859,-12.4292
821,130.8859,-12.4292
822,136.2019,-13.7794
828,130.9261,-12.4351
829,130.9598,-12.4576
830,130.9754,-12.486
831,130.9833,-12.486
